PassengerId,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,22.0,1,0,7.25,0,1,0,0,1
1,1,38.0,1,0,71.2833,1,0,1,0,0
2,3,26.0,0,0,7.925,1,0,0,0,1
3,1,35.0,1,0,53.1,1,0,0,0,1
4,3,35.0,0,0,8.05,0,1,0,0,1
5,3,29.69911764705882,0,0,8.4583,0,1,0,1,0
6,1,54.0,0,0,51.8625,0,1,0,0,1
7,3,2.0,3,1,21.075,0,1,0,0,1
8,3,27.0,0,2,11.1333,1,0,0,0,1
9,2,14.0,1,0,30.0708,1,0,1,0,0
10,3,4.0,1,1,16.7,1,0,0,0,1
11,1,58.0,0,0,26.55,1,0,0,0,1
12,3,20.0,0,0,8.05,0,1,0,0,1
13,3,39.0,1,5,31.275,0,1,0,0,1
14,3,14.0,0,0,7.8542,1,0,0,0,1
15,2,55.0,0,0,16.0,1,0,0,0,1
16,3,2.0,4,1,29.125,0,1,0,1,0
17,2,29.69911764705882,0,0,13.0,0,1,0,0,1
18,3,31.0,1,0,18.0,1,0,0,0,1
19,3,29.69911764705882,0,0,7.225,1,0,1,0,0
20,2,35.0,0,0,26.0,0,1,0,0,1
21,2,34.0,0,0,13.0,0,1,0,0,1
22,3,15.0,0,0,8.0292,1,0,0,1,0
23,1,28.0,0,0,35.5,0,1,0,0,1
24,3,8.0,3,1,21.075,1,0,0,0,1
25,3,38.0,1,5,31.3875,1,0,0,0,1
26,3,29.69911764705882,0,0,7.225,0,1,1,0,0
27,1,19.0,3,2,263.0,0,1,0,0,1
28,3,29.69911764705882,0,0,7.8792,1,0,0,1,0
29,3,29.69911764705882,0,0,7.8958,0,1,0,0,1
30,1,40.0,0,0,27.7208,0,1,1,0,0
31,1,29.69911764705882,1,0,146.5208,1,0,1,0,0
32,3,29.69911764705882,0,0,7.75,1,0,0,1,0
33,2,66.0,0,0,10.5,0,1,0,0,1
34,1,28.0,1,0,82.1708,0,1,1,0,0
35,1,42.0,1,0,52.0,0,1,0,0,1
36,3,29.69911764705882,0,0,7.2292,0,1,1,0,0
37,3,21.0,0,0,8.05,0,1,0,0,1
38,3,18.0,2,0,18.0,1,0,0,0,1
39,3,14.0,1,0,11.2417,1,0,1,0,0
40,3,40.0,1,0,9.475,1,0,0,0,1
41,2,27.0,1,0,21.0,1,0,0,0,1
42,3,29.69911764705882,0,0,7.8958,0,1,1,0,0
43,2,3.0,1,2,41.5792,1,0,1,0,0
44,3,19.0,0,0,7.8792,1,0,0,1,0
45,3,29.69911764705882,0,0,8.05,0,1,0,0,1
46,3,29.69911764705882,1,0,15.5,0,1,0,1,0
47,3,29.69911764705882,0,0,7.75,1,0,0,1,0
48,3,29.69911764705882,2,0,21.6792,0,1,1,0,0
49,3,18.0,1,0,17.8,1,0,0,0,1
50,3,7.0,4,1,39.6875,0,1,0,0,1
51,3,21.0,0,0,7.8,0,1,0,0,1
52,1,49.0,1,0,76.7292,1,0,1,0,0
53,2,29.0,1,0,26.0,1,0,0,0,1
54,1,65.0,0,1,61.9792,0,1,1,0,0
55,1,29.69911764705882,0,0,35.5,0,1,0,0,1
56,2,21.0,0,0,10.5,1,0,0,0,1
57,3,28.5,0,0,7.2292,0,1,1,0,0
58,2,5.0,1,2,27.75,1,0,0,0,1
59,3,11.0,5,2,46.9,0,1,0,0,1
60,3,22.0,0,0,7.2292,0,1,1,0,0
61,1,38.0,0,0,80.0,1,0,0,0,1
62,1,45.0,1,0,83.475,0,1,0,0,1
63,3,4.0,3,2,27.9,0,1,0,0,1
64,1,29.69911764705882,0,0,27.7208,0,1,1,0,0
65,3,29.69911764705882,1,1,15.2458,0,1,1,0,0
66,2,29.0,0,0,10.5,1,0,0,0,1
67,3,19.0,0,0,8.1583,0,1,0,0,1
68,3,17.0,4,2,7.925,1,0,0,0,1
69,3,26.0,2,0,8.6625,0,1,0,0,1
