Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
male,31,0,0,C.A. 18723,10.5,,S
female,45,1,1,F.C.C. 13529,26.25,,S
male,20,0,0,345769,9.5,,S
male,25,1,0,347076,7.775,,S
female,28,0,0,230434,13,,S
male,,0,0,65306,8.1125,,S
male,4,0,2,33638,81.8583,A34,S
female,13,0,1,250644,19.5,,S
male,34,0,0,113794,26.55,,S
female,5,2,1,2666,19.2583,,C
male,52,0,0,113786,30.5,C104,S
male,36,1,2,C.A. 34651,27.75,,S
male,,1,0,65303,19.9667,,S
male,30,0,0,113051,27.75,C111,C
male,49,1,0,17453,89.1042,C92,C
male,,0,0,A/5 2817,8.05,,S
male,29,0,0,349240,7.8958,,C
male,65,0,0,13509,26.55,E38,S
female,,1,0,17464,51.8625,D21,S
female,50,0,0,F.C.C. 13531,10.5,,S
male,,0,0,371060,7.75,,Q
male,48,0,0,19952,26.55,E12,S
male,34,0,0,364506,8.05,,S
male,47,0,0,111320,38.5,E63,S
male,48,0,0,234360,13,,S
male,,0,0,A/S 2816,8.05,,S
male,38,0,0,SOTON/O.Q. 3101306,7.05,,S
male,,0,0,239853,0,,S
male,56,0,0,113792,26.55,,S
male,,0,0,36209,7.725,,Q
female,0.75,2,1,2666,19.2583,,C
male,,0,0,323592,7.25,,S
male,38,0,0,315089,8.6625,,S
female,33,1,2,C.A. 34651,27.75,,S
female,23,0,0,SC/AH Basle 541,13.7917,D,C
female,22,0,0,7553,9.8375,,S
male,,0,0,110465,52,A14,S
male,34,1,0,31027,21,,S
male,29,1,0,3460,7.0458,,S
male,22,0,0,350060,7.5208,,S
female,2,0,1,3101298,12.2875,,S
male,9,5,2,CA 2144,46.9,,S
male,,0,0,239854,0,,S
male,50,0,0,A/5 3594,8.05,,S
female,63,0,0,4134,9.5875,,S
male,25,1,0,11967,91.0792,B49,C
female,,3,1,4133,25.4667,,S
female,35,1,0,19943,90,C93,S
male,58,0,0,11771,29.7,B37,C
male,30,0,0,A.5. 18509,8.05,,S
male,9,1,1,C.A. 37671,15.9,,S
male,,1,0,65304,19.9667,,S
male,21,0,0,SOTON/OQ 3101317,7.25,,S
male,55,0,0,113787,30.5,C30,S
male,71,0,0,PC 17609,49.5042,,C
male,21,0,0,A/4 45380,8.05,,S
male,,0,0,2627,14.4583,,C
female,54,1,0,36947,78.2667,D20,C
male,,0,0,C.A. 6212,15.1,,S
female,25,1,2,113781,151.55,C22 C26,S
male,24,0,0,350035,7.7958,,S
male,17,0,0,315086,8.6625,,S
female,21,0,0,364846,7.75,,Q
female,,0,0,330909,7.6292,,Q
female,37,0,0,4135,9.5875,,S
female,16,0,0,110152,86.5,B79,S
male,18,1,0,PC 17758,108.9,C65,C
female,33,0,2,26360,26,,S
male,,0,0,111427,26.55,,S
male,28,0,0,C 4001,22.525,,S
male,26,0,0,1601,56.4958,,S
male,29,0,0,382651,7.75,,Q
male,,0,0,SOTON/OQ 3101316,8.05,,S
male,36,0,0,PC 17473,26.2875,E25,S
female,54,1,0,PC 17603,59.4,,C
male,24,0,0,349209,7.4958,,S
male,47,0,0,36967,34.0208,D46,S
female,34,0,0,C.A. 34260,10.5,F33,S
male,,0,0,371110,24.15,,Q
female,36,1,0,226875,26,,S
male,32,0,0,349242,7.8958,,S
female,30,0,0,12749,93.5,B73,S
male,22,0,0,349252,7.8958,,S
male,,0,0,2624,7.225,,C
female,44,0,1,111361,57.9792,B18,C
male,,0,0,2700,7.2292,,C
male,40.5,0,0,367232,7.75,,Q
female,50,0,0,W./C. 14258,10.5,,S
male,,0,0,PC 17483,221.7792,C95,S
male,39,0,0,3101296,7.925,,S
male,23,2,1,29104,11.5,,S
female,2,1,1,26360,26,,S
male,,0,0,2641,7.2292,,C
male,17,1,1,2690,7.2292,,C
female,,0,2,2668,22.3583,,C
female,30,0,0,315084,8.6625,,S
female,7,0,2,F.C.C. 13529,26.25,,S
male,45,0,0,113050,26.55,B38,S
female,30,0,0,PC 17761,106.425,,C
male,,0,0,364498,14.5,,S
female,22,0,2,13568,49.5,B39,C
female,36,0,2,WE/P 5735,71,B22,S
female,9,4,2,347082,31.275,,S
female,11,4,2,347082,31.275,,S
male,32,1,0,2908,26,,S
male,50,1,0,PC 17761,106.425,C86,C
male,64,0,0,693,26,,S
female,19,1,0,2908,26,,S
male,,0,0,SC/PARIS 2146,13.8625,,C
male,33,1,1,363291,20.525,,S
male,8,1,1,C.A. 33112,36.75,,S
male,17,0,2,17421,110.8833,C70,C
male,27,0,0,244358,26,,S
male,,0,0,330979,7.8292,,Q
male,22,0,0,2620,7.225,,C
female,22,0,0,347085,7.775,,S
male,62,0,0,113807,26.55,,S
female,48,1,0,11755,39.6,A16,C
male,,0,0,PC 17757,227.525,,C
female,39,1,1,110413,79.65,E67,S
female,36,1,0,345572,17.4,,S
male,,0,0,372622,7.75,,Q
male,40,0,0,349251,7.8958,,S
male,28,0,0,218629,13.5,,S
male,,0,0,SOTON/OQ 392082,8.05,,S
female,,0,0,SOTON/O.Q. 392087,8.05,,S
male,24,2,0,A/4 48871,24.15,,S
male,19,0,0,349205,7.8958,,S
female,29,0,4,349909,21.075,,S
male,,0,0,2686,7.2292,,C
male,32,0,0,350417,7.8542,,S
male,62,0,0,S.W./PP 752,10.5,,S
female,53,2,0,11769,51.4792,C101,S
male,36,0,0,PC 17474,26.3875,E25,S
female,,0,0,14312,7.75,,Q
male,16,0,0,A/4. 20589,8.05,,S
male,19,0,0,358585,14.5,,S
female,34,0,0,243880,13,,S
female,39,1,0,13507,55.9,E44,S
female,,1,0,2689,14.4583,,C
male,32,0,0,STON/O 2. 3101286,7.925,,S
female,25,1,1,237789,30,,S
female,39,1,1,17421,110.8833,C68,C
male,54,0,0,28403,26,,S
male,36,0,0,13049,40.125,A10,C
male,,0,0,3411,8.7125,,C
female,18,0,2,110413,79.65,E68,S
male,47,0,0,237565,15,,S
male,60,1,1,13567,79.2,B41,C
male,22,0,0,14973,8.05,,S
male,,0,0,A./5. 3235,8.05,,S
male,35,0,0,STON/O 2. 3101273,7.125,,S
female,52,1,0,36947,78.2667,D20,C
male,47,0,0,A/5 3902,7.25,,S
female,,0,2,364848,7.75,,Q
male,37,1,0,SC/AH 29037,26,,S
male,36,1,1,345773,24.15,,S
female,,0,0,248727,33,,S
male,49,0,0,LINE,0,,S
male,,0,0,2664,7.225,,C
male,49,1,0,PC 17485,56.9292,A20,C
female,24,2,1,243847,27,,S
male,,0,0,349214,7.8958,,S
male,,0,0,113796,42.4,,S
male,44,0,0,364511,8.05,,S
male,35,0,0,111426,26.55,,C
male,36,1,0,349910,15.55,,S
male,30,0,0,349246,7.8958,,S
male,27,0,0,113804,30.5,,S
female,22,1,2,SC/Paris 2123,41.5792,,C
female,40,0,0,PC 17582,153.4625,C125,S
female,39,1,5,347082,31.275,,S
male,,0,0,SOTON/O.Q. 3101305,7.05,,S
female,,1,0,367230,15.5,,Q
male,,0,0,370377,7.75,,Q
male,35,0,0,364512,8.05,,S
female,24,1,2,220845,65,,S
male,34,1,1,347080,14.4,,S
female,26,1,0,A/5. 3336,16.1,,S
female,4,2,1,230136,39,F4,S
male,26,0,0,31028,10.5,,S
male,27,1,0,2659,14.4542,,C
male,42,1,0,11753,52.5542,D19,S
male,20,1,1,2653,15.7417,,C
male,21,0,0,350029,7.8542,,S
male,21,0,0,54636,16.1,,S
male,61,0,0,36963,32.3208,D50,S
male,57,0,0,219533,12.35,,Q
female,21,0,0,13502,77.9583,D9,S
male,26,0,0,349224,7.8958,,S
male,,0,0,334912,7.7333,,Q
male,80,0,0,27042,30,A23,S
male,51,0,0,347743,7.0542,,S
male,32,0,0,13214,30.5,B50,C
male,,0,0,112052,0,,S
female,9,3,2,347088,27.9,,S
female,28,0,0,237668,13,,S
male,32,0,0,STON/O 2. 3101292,7.925,,S
male,31,1,1,C.A. 31921,26.25,,S
female,41,0,5,3101295,39.6875,,S
male,,1,0,376564,16.1,,S
male,20,0,0,350050,7.8542,,S
female,24,0,0,PC 17477,69.3,B35,C
female,2,3,2,347088,27.9,,S
male,,0,0,1601,56.4958,,S
female,0.75,2,1,2666,19.2583,,C
male,48,1,0,PC 17572,76.7292,D33,C
male,19,0,0,349231,7.8958,,S
male,56,0,0,13213,35.5,A26,C
male,,0,0,S.O./P.P. 751,7.55,,S
female,23,0,0,CA. 2314,7.55,,S
male,,0,0,349221,7.8958,,S
female,18,0,1,231919,23,,S
male,21,0,0,8475,8.4333,,S
female,,0,0,330919,7.8292,,Q
female,18,0,0,365226,6.75,,Q
male,24,2,0,S.O.C. 14879,73.5,,S
male,,0,0,349223,7.8958,,S
female,32,1,1,364849,15.5,,Q
male,23,0,0,29751,13,,S
male,58,0,2,35273,113.275,D48,C
male,50,2,0,PC 17611,133.65,,S
male,40,0,0,2623,7.225,,C
male,47,0,0,5727,25.5875,E58,S
male,36,0,0,349210,7.4958,,S
male,20,1,0,STON/O 2. 3101285,7.925,,S
male,32,2,0,S.O.C. 14879,73.5,,S
male,25,0,0,234686,13,,S
male,,0,0,312993,7.775,,S
male,43,0,0,A/5 3536,8.05,,S
female,,1,0,19996,52,C126,S
female,40,1,1,29750,39,,S
male,31,1,0,F.C. 12750,52,B71,S
male,70,0,0,C.A. 24580,10.5,,S
male,31,0,0,244270,13,,S
male,,0,0,239856,0,,S
male,18,0,0,349912,7.775,,S
male,24.5,0,0,342826,8.05,,S
female,18,0,0,4138,9.8417,,S
female,43,1,6,CA 2144,46.9,,S
male,36,0,1,PC 17755,512.3292,B51 B53 B55,C
female,,0,0,330935,8.1375,,Q
male,27,0,0,PC 17572,76.7292,D49,C
male,20,0,0,6563,9.225,,S
male,14,5,2,CA 2144,46.9,,S
male,60,1,1,29750,39,,S
male,25,1,2,SC/Paris 2123,41.5792,,C
male,14,4,1,3101295,39.6875,,S
male,19,0,0,349228,10.1708,,S
male,18,0,0,350036,7.7958,,S
female,15,0,1,24160,211.3375,B5,S
male,31,1,0,17474,57,B20,S
female,4,0,1,349256,13.4167,,C
male,,0,0,1601,56.4958,,S
male,25,0,0,2672,7.225,,C
male,60,0,0,113800,26.55,,S
male,52,0,0,248731,13.5,,S
male,44,0,0,363592,8.05,,S
female,,0,0,35852,7.7333,,Q
male,49,1,1,17421,110.8833,C68,C
male,42,0,0,348121,7.65,F G63,S
female,18,1,0,PC 17757,227.525,C62 C64,C
male,35,0,0,PC 17475,26.2875,E24,S
female,18,0,1,2691,14.4542,,C
male,25,0,0,36864,7.7417,,Q
male,26,1,0,350025,7.8542,,S
male,39,0,0,250655,26,,S
female,45,0,0,223596,13.5,,S
male,42,0,0,PC 17476,26.2875,E24,S
female,22,0,0,113781,151.55,,S
male,,1,1,2661,15.2458,,C
female,24,0,0,PC 17482,49.5042,C90,C
male,,0,0,113028,26.55,C124,S
male,48,1,0,19996,52,C126,S
male,29,0,0,7545,9.4833,,S
male,52,0,0,250647,13,,S
male,19,0,0,348124,7.65,F G73,S
female,38,0,0,PC 17757,227.525,C45,C
female,27,0,0,34218,10.5,E101,S
male,,0,0,36568,15.5,,Q
male,33,0,0,347062,7.775,,S
female,6,0,1,248727,33,,S
male,17,1,0,350048,7.0542,,S
male,34,0,0,12233,13,,S
male,50,0,0,250643,13,,S
male,27,1,0,113806,53.1,E8,S
male,20,0,0,315094,8.6625,,S
female,30,3,0,31027,21,,S
female,,0,0,36866,7.7375,,Q
male,25,1,0,236853,26,,S
